階段,時間,年級,科目,備註

第一階段,1/17 09:00 ~ 1/20 17:00,學士班,通識,填志願
第一階段,1/17 09:00 ~ 1/20 17:00,學士班,國文,填志願
第一階段,1/17 09:00 ~ 1/20 17:00,學士班,英文,填志願
第一階段,1/17 09:00 ~ 1/20 17:00,學士班,體育,填志願
第一階段,1/17 09:00 ~ 1/20 17:00,學士班,二外,填志願
第一階段,1/17 09:00 ~ 1/20 17:00,研究所,二外,填志願
第一階段二次通識,1/22 09:00 ~1/22 17:00,學士班,通識,填志願

第二階段,1/25 09:00~12:00,大四,國文,填志願
第二階段,1/25 09:00~12:00,大四,通識,填志願
第二階段,1/25 09:00~12:00,大四,二外,填志願
第二階段,1/25 09:00~12:00,大四,選修,系內同年級餘額加選
第二階段,1/25 13:00~17:00,大三,國文,填志願
第二階段,1/25 13:00~17:00,大三,通識,填志願
第二階段,1/25 13:00~17:00,大三,二外,填志願
第二階段,1/25 13:00~17:00,大三,選修,系內同年級餘額加選
第二階段,1/26 09:00~12:00,大二,國文,填志願
第二階段,1/26 09:00~12:00,大二,通識,填志願
第二階段,1/26 09:00~12:00,大二,二外,填志願
第二階段,1/26 09:00~12:00,大二,選修,系內同年級餘額加選
第二階段,1/26 13:00~17:00,大一,國文,填志願
第二階段,1/26 13:00~17:00,大一,通識,填志願
第二階段,1/26 13:00~17:00,大一,二外,填志願
第二階段,1/26 13:00~17:00,大一,選修,系內同年級餘額加選
第二階段,1/27 09:00~1/28 17:00,全校,二外,填志願
第二階段 全校,1/27 09:00~1/28 17:00,全校,選修,跨系餘額加選
第二階段 全校,1/27 09:00~1/28 17:00,全校,體育,餘額加選
第二階段 全校,1/27 09:00~1/28 17:00,全校,英文,餘額加選

第三階段,2/21 09:00 ~ 2/25 17:00,全校,選修,跨系餘額加選
第三階段,2/21 09:00 ~ 2/25 17:00,全校,體育,餘額加選
第三階段,2/21 09:00 ~ 2/25 17:00,全校,英文,餘額加選
第三階段,2/21 09:00 ~ 2/25 17:00,全校,通識,填志願

加簽,3/1 09:00 ~ 3/3 17:00,全校,全部,無
退選,3/4 09:00 ~ 5/13 17:00,全校,全部,無


